load,Q,P,COP,tr_cw,G_cw,ts_cw,tr_chw,G_chw,ts_chw,Te,Pe,Tc,Pc,
0.701 ,1600.7 ,138.1 ,11.5893 ,18,125.3 ,21.3 ,10,76.4 ,5.0 ,3.9 ,337 ,22.2 ,612 ,
0.674 ,1539.7 ,136.0 ,11.3251 ,18,125.3 ,21.2 ,10,65.5 ,4.4 ,3.4 ,331 ,22.0 ,609 ,
0.599 ,1368.6 ,136.9 ,9.9937 ,18,125.3 ,20.9 ,10,54.6 ,4.0 ,3.2 ,328 ,23.8 ,642 ,
0.547 ,1250.1 ,135.5 ,9.2255 ,18,125.3 ,20.7 ,10,43.7 ,3.2 ,2.6 ,321 ,24.1 ,647 ,
0.829 ,1894.5 ,151.9 ,12.4684 ,18,125.3 ,21.9 ,12,109.2 ,7.9 ,6.6 ,370 ,23.0 ,626 ,
0.822 ,1878.2 ,151.3 ,12.4120 ,18,125.3 ,21.9 ,12,98.3 ,7.4 ,6.5 ,369 ,23.1 ,628 ,
0.794 ,1815.2 ,147.5 ,12.3095 ,18,125.3 ,21.8 ,12,87.3 ,7.1 ,5.9 ,361 ,22.8 ,622 ,
0.771 ,1762.2 ,144.8 ,12.1668 ,18,125.3 ,21.6 ,12,76.4 ,6.5 ,5.4 ,355 ,22.6 ,620 ,
0.742 ,1695.3 ,141.8 ,11.9521 ,18,125.3 ,21.5 ,12,65.5 ,5.8 ,4.8 ,347 ,22.5 ,616 ,
0.665 ,1519.9 ,142.0 ,10.7023 ,18,125.3 ,21.2 ,12,54.6 ,5.4 ,4.6 ,345 ,24.3 ,652 ,
0.607 ,1386.5 ,139.5 ,9.9381 ,18,125.3 ,20.9 ,12,43.7 ,4.5 ,3.8 ,335 ,24.5 ,656 ,
0.526 ,1202.7 ,137.3 ,8.7580 ,18,125.3 ,20.6 ,12,32.8 ,3.3 ,2.8 ,323 ,24.9 ,663 ,
0.670 ,1531.8 ,136.6 ,11.2139 ,18,112.7 ,21.5 ,8,109.2 ,4.7 ,3.5 ,332 ,22.3 ,614 ,
0.658 ,1502.5 ,135.6 ,11.0803 ,18,112.7 ,21.5 ,8,98.3 ,4.4 ,3.3 ,329 ,22.3 ,613 ,
0.652 ,1490.5 ,135.6 ,10.9914 ,18,112.7 ,21.5 ,8,87.3 ,3.9 ,3.2 ,329 ,22.4 ,615 ,
0.623 ,1424.0 ,133.1 ,10.6999 ,18,112.7 ,21.3 ,8,76.4 ,3.6 ,2.5 ,321 ,22.0 ,609 ,
0.599 ,1369.7 ,131.5 ,10.4199 ,18,112.7 ,21.2 ,8,65.5 ,3.0 ,2.1 ,315 ,21.9 ,606 ,
0.746 ,1703.7 ,143.3 ,11.8905 ,18,112.7 ,21.9 ,10,109.2 ,6.3 ,5.1 ,351 ,22.9 ,624 ,
0.732 ,1672.6 ,141.9 ,11.7877 ,18,112.7 ,21.9 ,10,98.3 ,6.0 ,4.8 ,347 ,22.7 ,622 ,
0.725 ,1657.1 ,141.7 ,11.6971 ,18,112.7 ,21.8 ,10,87.3 ,5.5 ,4.7 ,346 ,22.8 ,624 ,
0.694 ,1585.6 ,138.5 ,11.4479 ,18,112.7 ,21.7 ,10,76.4 ,5.1 ,4.0 ,338 ,22.5 ,617 ,
0.668 ,1525.5 ,136.4 ,11.1855 ,18,112.7 ,21.5 ,10,65.5 ,4.5 ,3.5 ,331 ,22.3 ,614 ,
0.595 ,1358.6 ,137.1 ,9.9112 ,18,112.7 ,21.2 ,10,54.6 ,4.1 ,3.2 ,328 ,23.9 ,644 ,
0.548 ,1251.3 ,135.8 ,9.2180 ,18,112.7 ,21.0 ,10,43.7 ,3.2 ,2.6 ,322 ,24.1 ,648 ,
0.821 ,1875.6 ,151.9 ,12.3494 ,18,112.7 ,22.3 ,12,109.2 ,7.9 ,6.6 ,370 ,23.3 ,633 ,
0.806 ,1841.7 ,150.0 ,12.2805 ,18,112.7 ,22.2 ,12,98.3 ,7.5 ,6.3 ,366 ,23.2 ,631 ,
0.798 ,1824.2 ,149.2 ,12.2246 ,18,112.7 ,22.2 ,12,87.3 ,7.0 ,6.2 ,365 ,23.3 ,631 ,
0.764 ,1746.5 ,145.1 ,12.0339 ,18,112.7 ,22.0 ,12,76.4 ,6.6 ,5.5 ,355 ,23.0 ,626 ,
0.735 ,1680.6 ,142.2 ,11.8167 ,18,112.7 ,21.9 ,12,65.5 ,5.9 ,4.9 ,348 ,22.8 ,622 ,
0.698 ,1595.6 ,138.9 ,11.4891 ,18,112.7 ,21.7 ,12,54.6 ,5.1 ,4.1 ,339 ,22.5 ,618 ,
0.608 ,1388.4 ,139.9 ,9.9265 ,18,112.7 ,21.3 ,12,43.7 ,4.4 ,3.9 ,336 ,24.6 ,658 ,
0.515 ,1177.1 ,137.9 ,8.5383 ,18,112.7 ,20.8 ,12,32.8 ,3.5 ,2.8 ,323 ,25.1 ,668 ,
0.586 ,1339.0 ,131.6 ,10.1758 ,18,100.2 ,21.5 ,6,109.2 ,3.1 ,2.0 ,315 ,22.2 ,611 ,
0.662 ,1511.7 ,137.1 ,11.0298 ,18,100.2 ,21.9 ,8,109.2 ,4.7 ,3.6 ,333 ,22.7 ,621 ,
